d	xmin	ymin	zmin	xmax	ymax	zmax
4 	 -20.000000 	 -20.000000 	 -20.000000 	 -10.000000 	 0.000000 	 0.000000 
5 	 -10.000000 	 -20.000000 	 -20.000000 	 0.000000 	 -10.000000 	 0.000000 
6 	 -10.000000 	 -10.000000 	 -20.000000 	 0.000000 	 0.000000 	 -10.000000 
7 	 -10.000000 	 -10.000000 	 -10.000000 	 -5.000000 	 0.000000 	 0.000000 
8 	 -5.000000 	 -10.000000 	 -10.000000 	 0.000000 	 -5.000000 	 0.000000 
9 	 -5.000000 	 -5.000000 	 -10.000000 	 0.000000 	 0.000000 	 -5.000000 
10 	 -5.000000 	 -5.000000 	 -5.000000 	 -2.500000 	 0.000000 	 0.000000 
11 	 -2.500000 	 -5.000000 	 -5.000000 	 0.000000 	 -2.500000 	 0.000000 
12 	 -2.500000 	 -2.500000 	 -5.000000 	 0.000000 	 0.000000 	 -2.500000 
13 	 -2.500000 	 -2.500000 	 -2.500000 	 -1.250000 	 0.000000 	 0.000000 
14 	 -1.250000 	 -2.500000 	 -2.500000 	 0.000000 	 -1.250000 	 0.000000 
15 	 -1.250000 	 -1.250000 	 -2.500000 	 0.000000 	 0.000000 	 -1.250000 
16 	 -1.250000 	 -1.250000 	 -1.250000 	 -0.625000 	 0.000000 	 0.000000 
17 	 -0.625000 	 -1.250000 	 -1.250000 	 0.000000 	 -0.625000 	 0.000000 
18 	 -0.625000 	 -0.625000 	 -1.250000 	 0.000000 	 0.000000 	 -0.625000 
19 	 -0.625000 	 -0.625000 	 -0.625000 	 -0.312500 	 0.000000 	 0.000000 
20 	 -0.312500 	 -0.625000 	 -0.625000 	 0.000000 	 -0.312500 	 0.000000 
21 	 -0.312500 	 -0.312500 	 -0.625000 	 0.000000 	 0.000000 	 -0.312500 
22 	 -0.312500 	 -0.312500 	 -0.312500 	 -0.156250 	 0.000000 	 0.000000 
23 	 -0.156250 	 -0.312500 	 -0.312500 	 0.000000 	 -0.156250 	 0.000000 
24 	 -0.156250 	 -0.156250 	 -0.312500 	 0.000000 	 0.000000 	 -0.156250 
25 	 -0.156250 	 -0.156250 	 -0.156250 	 -0.078125 	 0.000000 	 0.000000 
26 	 -0.078125 	 -0.156250 	 -0.156250 	 0.000000 	 -0.078125 	 0.000000 
